demand_mw,solar_mw,gas_mw,load_shedding_mw,solar_cf,timestamp,month,day,hour,date,period,served_by_solar_gas_mw,unserved_share_of_demand
36608.282674,-0.0,15873.654411947797,20734.628262052203,0.0,2025-08-26 20:00:00,8,26,20,2025-08-26,evening_peak_16_20,15873.654411947797,0.56639172196893
35338.36744,-0.0,15873.654411947797,19464.713028052203,0.0,2025-08-26 21:00:00,8,26,21,2025-08-26,late_evening_21_23,15873.654411947797,0.550809628121638
32785.16985,-0.0,15873.654411947797,16911.5154380522,0.0,2025-08-26 22:00:00,8,26,22,2025-08-26,late_evening_21_23,15873.654411947797,0.5158282087732482
30357.900565,-0.0,15873.654411947797,14484.246153052203,0.0,2025-08-26 23:00:00,8,26,23,2025-08-26,late_evening_21_23,15873.654411947797,0.47711619985181947
28730.3683739999,-0.0,15873.654411947797,12856.713962052103,0.0,2025-08-27 00:00:00,8,27,0,2025-08-27,night_00_05,15873.654411947797,0.44749561838848656
27387.115434,-0.0,15873.654411947797,11513.461022052203,0.0,2025-08-27 01:00:00,8,27,1,2025-08-27,night_00_05,15873.654411947797,0.4203969947035278
26146.808909,-0.0,15873.654411947797,10273.154497052203,0.0,2025-08-27 02:00:00,8,27,2,2025-08-27,night_00_05,15873.654411947797,0.3929028025104845
25384.924262,-0.0,15873.654411947797,9511.269850052204,0.0,2025-08-27 03:00:00,8,27,3,2025-08-27,night_00_05,15873.654411947797,0.37468182894246854
24911.849889,-0.0,15873.654411947797,9038.195477052204,0.0,2025-08-27 04:00:00,8,27,4,2025-08-27,night_00_05,15873.654411947797,0.36280707845157184
25752.9136339999,121.32124997407068,15873.654411947797,9757.93797207803,0.0001502004598444,2025-08-27 05:00:00,8,27,5,2025-08-27,night_00_05,15994.975661921868,0.3789061739093964
36371.749894,-0.0,15873.654411947797,20498.095482052202,0.0,2025-08-27 20:00:00,8,27,20,2025-08-27,evening_peak_16_20,15873.654411947797,0.5635718804234281
34852.919217,-0.0,15873.654411947797,18979.264805052204,0.0,2025-08-27 21:00:00,8,27,21,2025-08-27,late_evening_21_23,15873.654411947797,0.5445530885629459
32667.625077,-0.0,15873.654411947797,16793.970665052206,0.0,2025-08-27 22:00:00,8,27,22,2025-08-27,late_evening_21_23,15873.654411947797,0.5140860599895946
30133.047474,-0.0,15873.654411947797,14259.393062052202,0.0,2025-08-27 23:00:00,8,27,23,2025-08-27,late_evening_21_23,15873.654411947797,0.4732144358898906
28628.142656,-0.0,15873.654411947797,12754.488244052203,0.0,2025-08-28 00:00:00,8,28,0,2025-08-28,night_00_05,15873.654411947797,0.4455227290611208
27482.5813109999,161.7616666321481,15873.654411947797,11447.165232419955,0.0002002672797926,2025-08-28 01:00:00,8,28,1,2025-08-28,night_00_05,16035.416078579945,0.4165243833132308
27016.749139,-0.0,15873.654411947797,11143.094727052203,0.0,2025-08-28 02:00:00,8,28,2,2025-08-28,night_00_05,15873.654411947797,0.412451352667246
26391.1629279999,-0.0,15873.654411947797,10517.508516052103,0.0,2025-08-28 03:00:00,8,28,3,2025-08-28,night_00_05,15873.654411947797,0.39852387500868613
26063.917401,-0.0,15873.654411947797,10190.262989052202,0.0,2025-08-28 04:00:00,8,28,4,2025-08-28,night_00_05,15873.654411947797,0.39097204124278073
26287.662789,-0.0,15873.654411947797,10414.008377052205,0.0,2025-08-28 05:00:00,8,28,5,2025-08-28,night_00_05,15873.654411947797,0.3961557351310029
27977.3437839999,4177.8061209043235,15873.654411947797,7925.8832511477785,0.0051722876300293,2025-08-28 06:00:00,8,28,6,2025-08-28,morning_06_09,20051.46053285212,0.28329648848510597
35632.820813,18751.910124207963,15873.654411947797,1007.2562768442367,0.0232155992805783,2025-08-28 19:00:00,8,28,19,2025-08-28,evening_peak_16_20,34625.56453615576,0.028267654759366042
